experiment_id,timestamp,template_type,model,first_pass,iterations,errors_found,error_types,final_status,time_seconds,aws_cost_saved,notes
EXP1782952973,2026-07-02 09:43:05,VPC + EC2,Claude,NO,1,1,syntax_error,SUCCESS,11.67,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1782952986,2026-07-02 09:43:27,General CFN,Claude,NO,2,2,"syntax_error, runtime_error",SUCCESS,21.75,$0.0500,2 iterations — Gate 1+1.5+2 passed
EXP1782953008,2026-07-02 09:43:50,VPC + EC2,Claude,NO,2,4,"syntax_error, runtime_error",SUCCESS,22.27,$0.0500,2 iterations — Gate 1+1.5+2 passed
EXP1782953031,2026-07-02 09:44:02,VPC + EC2,Claude,NO,1,4,"wrong_value, syntax_error",SUCCESS,10.21,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1782953043,2026-07-02 09:44:20,SQS + SNS,Claude,NO,1,1,runtime_error,SUCCESS,17.58,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1782953061,2026-07-02 09:44:32,SQS + SNS,Claude,NO,1,1,syntax_error,SUCCESS,10.9,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1782953073,2026-07-02 09:44:44,VPC + EC2,Claude,NO,1,4,"wrong_value, syntax_error",SUCCESS,10.95,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1782953086,2026-07-02 09:44:54,RDS + VPC,Claude,YES,0,0,None,SUCCESS,7.11,$0.0500,0 iterations — Gate 1+1.5+2 passed
EXP1782953095,2026-07-02 09:45:05,S3 + Lambda,Claude,NO,1,1,syntax_error,SUCCESS,10.03,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1782953106,2026-07-02 09:45:13,SQS + SNS,Claude,YES,0,0,None,SUCCESS,7.32,$0.0500,0 iterations — Gate 1+1.5+2 passed
EXP1782953114,2026-07-02 09:45:27,Cognito,Claude,NO,1,3,syntax_error,SUCCESS,13.39,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1782953129,2026-07-02 09:45:39,Cognito,Claude,NO,1,1,syntax_error,SUCCESS,10.44,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1782953140,2026-07-02 09:45:59,Cognito,Claude,NO,1,1,runtime_error,SUCCESS,18.47,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1782953160,2026-07-02 09:46:07,Cognito,Claude,YES,0,0,None,SUCCESS,6.94,$0.0500,0 iterations — unsupported resources noted
