experiment_id,timestamp,template_type,model,first_pass,iterations,errors_found,error_types,final_status,time_seconds,aws_cost_saved,notes
EXP1781688318,2026-06-17 18:25:33,VPC + EC2,Claude,NO,1,1,syntax_error,SUCCESS,15.28,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688336,2026-06-17 18:26:01,General CFN,Claude,NO,2,2,"runtime_error, syntax_error",SUCCESS,25.58,$0.0500,2 iterations — Gate 1+1.5+2 passed
EXP1781688364,2026-06-17 18:26:34,VPC + EC2,Claude,NO,2,4,"runtime_error, syntax_error",SUCCESS,29.93,$0.0500,2 iterations — Gate 1+1.5+2 passed
EXP1781688397,2026-06-17 18:26:51,VPC + EC2,Claude,NO,1,4,"syntax_error, wrong_value",SUCCESS,13.88,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688414,2026-06-17 18:27:12,SQS + SNS,Claude,NO,1,1,runtime_error,SUCCESS,18.66,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688434,2026-06-17 18:27:28,SQS + SNS,Claude,NO,1,1,syntax_error,SUCCESS,13.23,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688450,2026-06-17 18:27:44,VPC + EC2,Claude,NO,1,4,"syntax_error, wrong_value",SUCCESS,14.24,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688466,2026-06-17 18:27:55,RDS + VPC,Claude,YES,0,0,None,SUCCESS,8.65,$0.0500,0 iterations — Gate 1+1.5+2 passed
EXP1781688477,2026-06-17 18:28:09,S3 + Lambda,Claude,NO,1,1,syntax_error,SUCCESS,11.98,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688491,2026-06-17 18:28:19,SQS + SNS,Claude,YES,0,0,None,SUCCESS,8.74,$0.0500,0 iterations — Gate 1+1.5+2 passed
EXP1781688501,2026-06-17 18:28:35,Cognito,Claude,NO,1,3,syntax_error,SUCCESS,13.23,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688517,2026-06-17 18:28:50,Cognito,Claude,NO,1,1,syntax_error,SUCCESS,13.62,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688533,2026-06-17 18:29:10,Cognito,Claude,NO,1,1,runtime_error,SUCCESS,17.77,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688552,2026-06-17 18:29:21,Cognito,Claude,YES,0,0,None,SUCCESS,8.72,$0.0500,0 iterations — unsupported resources noted
EXP1781688563,2026-06-17 18:29:41,Cognito,Claude,NO,1,1,runtime_error,SUCCESS,18.37,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688583,2026-06-17 18:29:56,Cognito,Claude,NO,1,1,syntax_error,SUCCESS,12.67,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688598,2026-06-17 18:30:12,Cognito,Claude,NO,1,1,wrong_value,SUCCESS,13.99,$0.0500,1 iterations — Gate 1+1.5+2 passed
EXP1781688614,2026-06-17 18:30:55,RDS + VPC,Claude,NO,3,10,"best_practice, syntax_error, runtime_error, wrong_value",SUCCESS,40.71,$0.0500,3 iterations — Gate 1+1.5+2 passed
EXP1781688657,2026-06-17 18:31:13,Lambda + DynamoDB,Claude,NO,1,10,"syntax_error, wrong_value",SUCCESS,15.6,$0.0500,1 iterations — Gate 1+1.5+2 passed
